Año de presentación de la DDJJ,Empresa informante,idempresa,Área/Permiso/Concesión,idconcesion,Yacimiento,Cuenca,Ubicación,Provincia,Período del plan de acción,Estado de la DDJJ,Año de la previsión declarado,Descripción del plan de acción (Conceptos),Cant. Exploracion,Millones u$s Exploracion,Cant. Explotacion,Millones u$s Explotacion,Cant. Exploracion Complementaria,Millones u$s Exp. Complementaria,Hombres hora,Fecha Inicio Tareas,Fecha Fin Tareas,Tipo de explotación
2013,SAN JORGE PETROLEUM S.A.,1198,CONFLUENCIA SUR,371,CONFLUENCIA SUR,NEUQUINA,On Shore,Mendoza,Inversiones previstas hasta el fin de la concesión,Cerrada,2014,Perforación Pozos Productores de Petróleo(pozos),0,0,1,4.1,0,0,1500,,,Convencional
2013,SAN JORGE PETROLEUM S.A.,1198,CONFLUENCIA SUR,371,CONFLUENCIA SUR,NEUQUINA,On Shore,Mendoza,Inversiones previstas hasta el fin de la concesión,Cerrada,2015,Perforación Pozos Productores de Petróleo(pozos),0,0,1,2.3,0,0,1500,,,Convencional
2013,SAN JORGE PETROLEUM S.A.,1198,CONFLUENCIA SUR,371,CONFLUENCIA SUR,NEUQUINA,On Shore,Mendoza,Inversiones previstas hasta el fin de la concesión,Cerrada,2016,Reparación de Pozos de Petróleo(pozos),0,0,2,0.6,0,0,300,,,Convencional
2013,MEDANITO S.A.,204,CATRIEL VIEJO,130,CATRIEL VIEJO,NEUQUINA,On Shore,Rio Negro,Inversiones previstas hasta el fin de la concesión,Cerrada,2014,Perforación Pozos Productores de Petróleo(pozos),0,0,1,2.7,0,0,0,,,Convencional
2013,MEDANITO S.A.,204,CUTRAL CO,393,CUTRAL CO,NEUQUINA,On Shore,Neuquén,Inversiones previstas hasta el fin de la concesión,Cerrada,2014,Perforación Pozos Productores de Gas(pozos),0,0,1,1.9,0,0,0,,,Convencional
2013,MEDANITO S.A.,204,DOS PICOS,1038,DOS PICOS,NEUQUINA,On Shore,Neuquén,Inversiones previstas hasta el fin de la concesión,Cerrada,2014,Perforación Pozos Productores de Gas(pozos),0,0,1,2,0,0,0,,,Convencional
2013,MEDANITO S.A.,204,MEDIANERA,504,MEDIANERA,NEUQUINA,On Shore,Rio Negro,Inversiones previstas hasta el fin de la concesión,Cerrada,2014,Perforación Pozos Productores de Petróleo(pozos),0,0,4,6.8,0,0,0,,,Convencional
2013,MEDANITO S.A.,204,MEDIANERA,504,MEDIANERA,NEUQUINA,On Shore,Rio Negro,Inversiones previstas hasta el fin de la concesión,Cerrada,2014,Reparación de Pozos de Petróleo(pozos),0,0,3,1.5,0,0,0,,,Convencional
2013,MEDANITO S.A.,204,AGUADA DEL CHIVATO - AGUADA BOCAREY,11,AGUADA DEL CHIVATO,NEUQUINA,On Shore,Neuquén,Inversiones previstas hasta el fin de la concesión,Cerrada,2015,Perforación Pozos Productores de Petróleo(pozos),0,0,6,16.2,0,0,0,,,Convencional
2013,MEDANITO S.A.,204,AGUADA DEL CHIVATO - AGUADA BOCAREY,11,AGUADA DEL CHIVATO,NEUQUINA,On Shore,Neuquén,Inversiones previstas hasta el fin de la concesión,Cerrada,2015,Reparación de Pozos de Petróleo(pozos),0,0,4,2.4,0,0,0,,,Convencional
2013,MEDANITO S.A.,204,MEDIANERA,504,MEDIANERA,NEUQUINA,On Shore,Rio Negro,Inversiones previstas hasta el fin de la concesión,Cerrada,2015,Perforación Pozos Productores de Petróleo(pozos),0,0,3,5.1,0,0,0,,,Convencional
2013,MEDANITO S.A.,204,MEDIANERA,504,MEDIANERA,NEUQUINA,On Shore,Rio Negro,Inversiones previstas hasta el fin de la concesión,Cerrada,2015,Reparación de Pozos de Petróleo(pozos),0,0,3,1.5,0,0,0,,,Convencional
